Order_Date,Category,Quantity,Price,Total
"Jan 5 2023",NULL,NULL,NULL,NULL
abc,NULL,NULL,NULL,NULL
NULL,nan,NULL,NULL,NULL
NULL,,NULL,NULL,NULL
NULL,,NULL,NULL,NULL
NULL,nan,NULL,NULL,NULL
NULL,,NULL,NULL,NULL
NULL,,NULL,NULL,NULL
NULL,,NULL,NULL,NULL
NULL,,NULL,NULL,NULL
NULL,NULL,,NULL,NULL
NULL,NULL,-2,NULL,NULL
NULL,NULL,-5,NULL,NULL
NULL,NULL,,NULL,NULL
NULL,NULL,,NULL,NULL
NULL,NULL,4a,NULL,NULL
NULL,NULL,,NULL,NULL
NULL,NULL,,NULL,NULL
NULL,NULL,NULL,38,NULL
NULL,NULL,NULL,abd,NULL
NULL,NULL,NULL,"four hundred",NULL
NULL,NULL,NULL,,NULL
NULL,NULL,NULL,300$,NULL
NULL,NULL,NULL,,NULL
NULL,NULL,NULL,,NULL
NULL,NULL,NULL,-100,NULL
NULL,NULL,NULL,,NULL
NULL,NULL,NULL,,NULL
NULL,NULL,NULL,abd,NULL
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,1115.576
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,-20000
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,-2957.65
NULL,NULL,NULL,NULL,-300
NULL,NULL,NULL,NULL,640.024
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,1023.288
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,
NULL,NULL,NULL,NULL,
